problem_id,category,solver_rule,solver_predicted,solver_correct,answer
0a3c8962,gravity,gravity_solver,54.36,True,54.36
0a41d1b5,gravity,gravity_solver,158.06,True,158.06
0a45c663,gravity,gravity_solver,51.58,True,51.58
0a4b6267,gravity,gravity_solver,129.68,True,129.68
0a4e0ecd,gravity,gravity_solver,39.90,True,39.9
0a5c4c1e,gravity,gravity_solver,196.52,True,196.53
0ab3d1de,gravity,gravity_solver,87.16,True,87.16
0b14fbf1,gravity,gravity_solver,44.97,True,44.96
0b1e1afc,gravity,gravity_solver,78.06,False,78.08
0b45cd22,gravity,gravity_solver,64.59,True,64.59
0b49997d,gravity,gravity_solver,4.49,True,4.49
0b5d02f4,gravity,gravity_solver,29.19,True,29.19
0b6ca613,gravity,gravity_solver,118.54,True,118.54
0bd0197c,gravity,gravity_solver,48.86,True,48.86
0bd7fe62,gravity,gravity_solver,7.36,True,7.36
0c0955b1,gravity,gravity_solver,128.84,True,128.84
0cc8d7c2,gravity,gravity_solver,29.44,True,29.44
0d069918,gravity,gravity_solver,17.43,True,17.43
0d16ae24,gravity,gravity_solver,8.90,True,8.89
0d2f174c,gravity,gravity_solver,171.09,True,171.09
0d473e1e,gravity,gravity_solver,10.68,True,10.68
0d4dc849,gravity,gravity_solver,112.63,True,112.63
0d61b6e0,gravity,gravity_solver,12.76,True,12.76
0d69dc5d,gravity,gravity_solver,13.35,True,13.35
0dcdd12b,gravity,gravity_solver,38.99,True,38.99
0e02a8df,gravity,gravity_solver,48.00,True,48.0
0e4107aa,gravity,gravity_solver,91.12,True,91.12
0e81751f,gravity,gravity_solver,31.59,True,31.59
0e897e03,gravity,gravity_solver,30.74,True,30.74
0e93fbf6,gravity,gravity_solver,19.29,True,19.29
0eb6931c,gravity,gravity_solver,123.28,True,123.27
0ec04296,gravity,gravity_solver,188.02,True,188.02
0ecdee5a,gravity,gravity_solver,113.67,True,113.67
0ee2b6f4,gravity,gravity_solver,14.38,True,14.38
0effe408,gravity,gravity_solver,107.33,True,107.34
0f0a0b78,gravity,gravity_solver,162.32,True,162.32
0f14cdfd,gravity,gravity_solver,99.37,True,99.37
0f16e113,gravity,gravity_solver,35.62,True,35.62
0f17279e,gravity,gravity_solver,132.44,True,132.44
0f59f534,gravity,gravity_solver,84.14,True,84.13
0f614833,gravity,gravity_solver,35.18,True,35.18
0fd289d8,gravity,gravity_solver,92.00,True,92.01
0ff70513,gravity,gravity_solver,72.61,True,72.61
1021cb76,gravity,gravity_solver,11.21,True,11.21
1029ef5a,gravity,gravity_solver,33.22,True,33.22
109a6016,gravity,gravity_solver,28.60,True,28.6
10b19ba1,gravity,gravity_solver,62.82,True,62.82
10e6a430,gravity,gravity_solver,57.34,True,57.34
112586df,gravity,gravity_solver,43.77,True,43.77
112bd01f,gravity,gravity_solver,6.86,True,6.86
112f8c9a,gravity,gravity_solver,66.46,True,66.46
113ee3b2,gravity,gravity_solver,6.64,True,6.64
116b3007,gravity,gravity_solver,69.86,True,69.86
1174ceb5,gravity,gravity_solver,54.61,True,54.61
1179a56c,gravity,gravity_solver,5.08,True,5.08
11dd396a,gravity,gravity_solver,66.58,True,66.58
11e0cf99,gravity,gravity_solver,73.69,True,73.68
122d207c,gravity,gravity_solver,24.61,True,24.61
12368f5f,gravity,gravity_solver,97.01,True,97.01
126276d6,gravity,gravity_solver,133.80,True,133.8
126caa2e,gravity,gravity_solver,30.17,True,30.17
127b232a,gravity,gravity_solver,43.06,True,43.06
127bf9be,gravity,gravity_solver,39.45,True,39.45
12e6f711,gravity,gravity_solver,102.92,True,102.92
12fe3d99,gravity,gravity_solver,17.80,True,17.8
13042e4a,gravity,gravity_solver,53.16,True,53.16
13343e94,gravity,gravity_solver,22.84,True,22.84
13394598,gravity,gravity_solver,3.77,True,3.77
136ffda9,gravity,gravity_solver,87.43,True,87.42
13881f2a,gravity,gravity_solver,97.01,True,97.01
13c36657,gravity,gravity_solver,9.86,True,9.86
13eebd6e,gravity,gravity_solver,29.86,True,29.86
13f40f19,gravity,gravity_solver,23.84,True,23.84
140fc23e,gravity,gravity_solver,6.56,True,6.56
143ba63e,gravity,gravity_solver,157.39,True,157.39
143c78e0,gravity,gravity_solver,12.04,True,12.04
143d4f8f,gravity,gravity_solver,18.73,True,18.73
145454da,gravity,gravity_solver,18.21,True,18.21
147b4c3c,gravity,gravity_solver,106.29,True,106.29
14cfeac3,gravity,gravity_solver,7.11,True,7.12
14e06c76,gravity,gravity_solver,22.20,True,22.2
14fd5550,gravity,gravity_solver,50.57,True,50.57
150360a5,gravity,gravity_solver,135.49,True,135.48
1520fb1d,gravity,gravity_solver,79.16,True,79.16
1596356e,gravity,gravity_solver,41.77,True,41.77
15cf49bb,gravity,gravity_solver,111.46,True,111.46
15e79ae0,gravity,gravity_solver,15.75,True,15.75
162f9eb3,gravity,gravity_solver,142.42,True,142.42
16436182,gravity,gravity_solver,199.21,True,199.21
164f1fd0,gravity,gravity_solver,8.20,True,8.2
16a09dd6,gravity,gravity_solver,93.89,True,93.89
16b45644,gravity,gravity_solver,98.34,True,98.35
16d0c65e,gravity,gravity_solver,73.60,True,73.6
16d72830,gravity,gravity_solver,216.14,True,216.14
1709e73f,gravity,gravity_solver,13.01,True,13.01
177d60f2,gravity,gravity_solver,64.58,True,64.58
17d4849f,gravity,gravity_solver,105.56,True,105.56
17f7fb09,gravity,gravity_solver,9.96,True,9.96
17fc6883,gravity,gravity_solver,43.27,True,43.27
1815089c,gravity,gravity_solver,93.50,True,93.5
1845347a,gravity,gravity_solver,9.63,True,9.63
184b74cd,gravity,gravity_solver,113.88,True,113.88
186cccdf,gravity,gravity_solver,139.96,True,139.97
18ffcc39,gravity,gravity_solver,18.02,True,18.02
1907bede,gravity,gravity_solver,109.54,True,109.54
196959f6,gravity,gravity_solver,23.56,True,23.56
1971fc80,gravity,gravity_solver,45.25,True,45.25
197728ae,gravity,gravity_solver,211.66,True,211.66
19f0e899,gravity,gravity_solver,20.45,True,20.45
1a2ac571,gravity,gravity_solver,13.94,True,13.94
1a337ccc,gravity,gravity_solver,46.42,True,46.42
1a6c0053,gravity,gravity_solver,3.53,True,3.53
1a813172,gravity,gravity_solver,55.40,True,55.4
1a9e3bb4,gravity,gravity_solver,5.08,True,5.08
1adac02d,gravity,gravity_solver,31.80,True,31.8
1aec45f5,gravity,gravity_solver,31.59,True,31.59
1b1ab22a,gravity,gravity_solver,113.63,True,113.63
1b36ce68,gravity,gravity_solver,6.81,True,6.81
1b5744e7,gravity,gravity_solver,23.66,True,23.66
1b76590c,gravity,gravity_solver,195.58,True,195.57
1b818620,gravity,gravity_solver,33.87,True,33.87
1bde7dfb,gravity,gravity_solver,38.88,True,38.89
1c27ef41,gravity,gravity_solver,69.05,True,69.05
1c2df526,gravity,gravity_solver,59.87,True,59.87
1c37e8fe,gravity,gravity_solver,26.11,True,26.11
1c41e87d,gravity,gravity_solver,49.36,True,49.36
1c52091e,gravity,gravity_solver,13.21,True,13.21
1ca8e087,gravity,gravity_solver,41.99,True,41.99
1d2a87c3,gravity,gravity_solver,67.50,True,67.5
1d32836c,gravity,gravity_solver,28.01,True,28.01
1d3a602c,gravity,gravity_solver,121.90,True,121.9
1d3a8077,gravity,gravity_solver,63.61,True,63.61
1d3ae978,gravity,gravity_solver,6.17,True,6.17
1d47b46e,gravity,gravity_solver,26.64,True,26.63
1d8d8655,gravity,gravity_solver,31.23,True,31.23
1d9e08a8,gravity,gravity_solver,4.05,True,4.05
1db21126,gravity,gravity_solver,96.57,True,96.57
1dce2690,gravity,gravity_solver,8.73,True,8.73
1dde1e65,gravity,gravity_solver,56.62,True,56.62
1de7225c,gravity,gravity_solver,20.03,True,20.03
1de81a6f,gravity,gravity_solver,68.31,True,68.31
1e0d1322,gravity,gravity_solver,10.13,True,10.13
1e99e10f,gravity,gravity_solver,13.87,True,13.87
1ef25240,gravity,gravity_solver,41.74,True,41.74
1ef440dc,gravity,gravity_solver,16.15,True,16.15
1f04fa8d,gravity,gravity_solver,172.11,True,172.11
1f07abea,gravity,gravity_solver,19.24,True,19.24
1f2f6b29,gravity,gravity_solver,29.33,True,29.33
1f549473,gravity,gravity_solver,63.11,True,63.11
1f73f1f0,gravity,gravity_solver,81.65,True,81.65
1fa88224,gravity,gravity_solver,10.10,True,10.1
1fb05006,gravity,gravity_solver,100.73,True,100.72
1fba92ee,gravity,gravity_solver,11.78,True,11.78
1fcdff78,gravity,gravity_solver,27.94,True,27.94
1fde04cc,gravity,gravity_solver,100.17,True,100.17
20010db2,gravity,gravity_solver,98.18,True,98.18
201dfb1c,gravity,gravity_solver,38.70,True,38.7
203aee7d,gravity,gravity_solver,9.80,True,9.8
20eecd8a,gravity,gravity_solver,82.71,True,82.71
2106285f,gravity,gravity_solver,50.98,True,50.98
211b86cc,gravity,gravity_solver,159.06,True,159.06
215cc608,gravity,gravity_solver,57.18,True,57.18
215fda9c,gravity,gravity_solver,18.29,True,18.29
2187585a,gravity,gravity_solver,10.56,True,10.56
218b0228,gravity,gravity_solver,7.23,True,7.23
21bbe611,gravity,gravity_solver,42.56,True,42.56
21e2511d,gravity,gravity_solver,49.61,True,49.61
2212ccb3,gravity,gravity_solver,24.05,True,24.05
22151c0e,gravity,gravity_solver,45.53,True,45.53
22882bef,gravity,gravity_solver,18.48,True,18.48
22bb13b8,gravity,gravity_solver,163.24,True,163.25
22c679ac,gravity,gravity_solver,196.36,True,196.36
22df9c33,gravity,gravity_solver,134.51,True,134.5
2306289a,gravity,gravity_solver,58.72,True,58.72
231dfa50,gravity,gravity_solver,119.42,True,119.42
232c0bee,gravity,gravity_solver,72.80,True,72.8
233e854d,gravity,gravity_solver,19.59,True,19.59
2359eb76,gravity,gravity_solver,38.85,True,38.85
23785b83,gravity,gravity_solver,103.23,True,103.23
23a3d88f,gravity,gravity_solver,179.01,True,179.01
2407eee3,gravity,gravity_solver,9.41,True,9.41
2459c775,gravity,gravity_solver,61.15,True,61.15
24d81e42,gravity,gravity_solver,9.56,True,9.56
25c1baab,gravity,gravity_solver,19.13,True,19.13
25fa4c2c,gravity,gravity_solver,6.20,True,6.2
26518e13,gravity,gravity_solver,67.70,True,67.7
266100e9,gravity,gravity_solver,28.55,True,28.55
2673b3cc,gravity,gravity_solver,22.46,True,22.46
26d4cbc3,gravity,gravity_solver,182.41,True,182.4
26e2d26a,gravity,gravity_solver,94.28,True,94.29
2721e036,gravity,gravity_solver,63.41,True,63.41
277cdbcf,gravity,gravity_solver,39.18,True,39.18
27ca638a,gravity,gravity_solver,136.46,True,136.46
27d3c9e1,gravity,gravity_solver,169.29,True,169.29
27da7eaa,gravity,gravity_solver,112.37,True,112.37
27dd189a,gravity,gravity_solver,76.09,True,76.09
27f7f84f,gravity,gravity_solver,32.65,True,32.65
285e5797,gravity,gravity_solver,132.59,True,132.59
2894ae33,gravity,gravity_solver,63.33,True,63.33
28b1c508,gravity,gravity_solver,64.15,True,64.15
28db0ae7,gravity,gravity_solver,41.74,True,41.74
292ffcee,gravity,gravity_solver,103.18,True,103.17
293cc694,gravity,gravity_solver,119.55,True,119.55
298d3618,gravity,gravity_solver,24.23,True,24.23
29a8ac06,gravity,gravity_solver,32.87,True,32.87
29c5f854,gravity,gravity_solver,52.51,True,52.51
29e1527c,gravity,gravity_solver,8.95,True,8.95
2a2eb7c2,gravity,gravity_solver,13.89,True,13.89
2a55bb8d,gravity,gravity_solver,164.33,True,164.33
2a6a88cd,gravity,gravity_solver,48.81,True,48.81
2a7e1d11,gravity,gravity_solver,116.93,True,116.93
2a8ccc8a,gravity,gravity_solver,59.43,True,59.42
2ae067a8,gravity,gravity_solver,34.30,True,34.3
2af48539,gravity,gravity_solver,52.26,True,52.26
2b4de8bd,gravity,gravity_solver,86.90,True,86.9
2b54c39a,gravity,gravity_solver,87.71,True,87.71
2b6147f7,gravity,gravity_solver,191.98,True,191.98
2bdf114f,gravity,gravity_solver,30.16,True,30.16
2bf73df4,gravity,gravity_solver,179.57,True,179.57
2c34ec23,gravity,gravity_solver,5.48,True,5.48
2c8c6f91,gravity,gravity_solver,61.43,True,61.43
2cbb9290,gravity,gravity_solver,21.49,True,21.49
2cbcd822,gravity,gravity_solver,8.50,True,8.5
2cdaf13f,gravity,gravity_solver,35.67,True,35.67
2ce67ec9,gravity,gravity_solver,73.48,True,73.49
2d1d1cea,gravity,gravity_solver,47.81,True,47.81
2d23f241,gravity,gravity_solver,19.53,True,19.53
2d248811,gravity,gravity_solver,148.37,True,148.37
2d4c4625,gravity,gravity_solver,45.83,True,45.83
2d4d3fee,gravity,gravity_solver,41.61,True,41.62
2d7442bf,gravity,gravity_solver,24.29,True,24.29
2d778157,gravity,gravity_solver,16.22,True,16.22
2da64bb3,gravity,gravity_solver,53.86,True,53.86
2e53e971,gravity,gravity_solver,128.01,True,128.01
2e8c188c,gravity,gravity_solver,35.41,True,35.41
2e8fe403,gravity,gravity_solver,63.38,True,63.38
2ea26a27,gravity,gravity_solver,29.27,True,29.27
2f0041de,gravity,gravity_solver,21.94,True,21.94
2f18b11f,gravity,gravity_solver,118.49,True,118.49
2f37b967,gravity,gravity_solver,54.78,True,54.78
2f650779,gravity,gravity_solver,12.81,True,12.81
2f7b6e82,gravity,gravity_solver,14.09,True,14.08
2f883df4,gravity,gravity_solver,137.64,True,137.64
2f90af4d,gravity,gravity_solver,9.99,True,9.99
2fc515aa,gravity,gravity_solver,128.46,True,128.46
2fdbd66d,gravity,gravity_solver,6.31,True,6.31
2ff2a47e,gravity,gravity_solver,16.33,True,16.33
30227ca4,gravity,gravity_solver,15.61,True,15.61
3060e3db,gravity,gravity_solver,72.63,True,72.63
3087b4f9,gravity,gravity_solver,44.31,True,44.31
309e5491,gravity,gravity_solver,5.86,True,5.86
30b4543c,gravity,gravity_solver,103.48,True,103.48
30d70872,gravity,gravity_solver,36.28,True,36.28
317266c3,gravity,gravity_solver,68.10,True,68.1
3178caeb,gravity,gravity_solver,146.97,True,146.97
31ac5131,gravity,gravity_solver,35.06,True,35.06
31b2c302,gravity,gravity_solver,91.89,True,91.89
31c04c70,gravity,gravity_solver,78.25,True,78.26
31ea69a9,gravity,gravity_solver,27.99,True,27.99
325f705d,gravity,gravity_solver,10.23,True,10.23
3267f421,gravity,gravity_solver,73.43,True,73.43
327cb428,gravity,gravity_solver,60.72,True,60.72
32a18e65,gravity,gravity_solver,62.41,True,62.41
3313fdbe,gravity,gravity_solver,78.67,True,78.67
331f4d30,gravity,gravity_solver,57.29,True,57.29
33205207,gravity,gravity_solver,63.15,True,63.15
336953fa,gravity,gravity_solver,137.29,True,137.28
337422d3,gravity,gravity_solver,81.18,True,81.18
33ce7ec3,gravity,gravity_solver,33.78,True,33.78
33eb029a,gravity,gravity_solver,76.07,True,76.07
341252e5,gravity,gravity_solver,118.94,True,118.94
3419a4b1,gravity,gravity_solver,129.92,True,129.92
34390bf1,gravity,gravity_solver,29.85,True,29.85
3492bb6e,gravity,gravity_solver,20.31,True,20.31
34bc9341,gravity,gravity_solver,166.73,True,166.74
34eae7f9,gravity,gravity_solver,77.08,True,77.08
34f49b7d,gravity,gravity_solver,105.55,True,105.55
34f985b3,gravity,gravity_solver,158.56,True,158.56
34ffc4b7,gravity,gravity_solver,21.94,True,21.94
35350568,gravity,gravity_solver,190.86,True,190.87
3555e175,gravity,gravity_solver,39.16,True,39.16
357974d4,gravity,gravity_solver,31.16,True,31.16
35aa8b81,gravity,gravity_solver,24.68,True,24.68
35b9db40,gravity,gravity_solver,52.65,True,52.65
360b6f4e,gravity,gravity_solver,120.41,True,120.41
361284d7,gravity,gravity_solver,114.09,True,114.09
3632f6d0,gravity,gravity_solver,145.69,True,145.68
3672cece,gravity,gravity_solver,13.10,True,13.1
3680d3b9,gravity,gravity_solver,69.31,True,69.31
3685d906,gravity,gravity_solver,8.76,True,8.76
368e316c,gravity,gravity_solver,56.18,True,56.18
3692975d,gravity,gravity_solver,25.73,True,25.73
37148c4b,gravity,gravity_solver,13.55,True,13.55
37525eec,gravity,gravity_solver,22.27,True,22.27
37591952,gravity,gravity_solver,46.35,True,46.35
37a2babf,gravity,gravity_solver,183.37,True,183.37
37d970e6,gravity,gravity_solver,56.96,True,56.96
37e9f5e9,gravity,gravity_solver,57.16,True,57.16
37fec698,gravity,gravity_solver,4.75,True,4.75
38203f70,gravity,gravity_solver,39.59,True,39.59
382b36ce,gravity,gravity_solver,41.69,True,41.68
382d19a5,gravity,gravity_solver,99.65,True,99.65
382dccdd,gravity,gravity_solver,124.41,True,124.42
38857bea,gravity,gravity_solver,122.47,True,122.46
38c65edb,gravity,gravity_solver,32.61,True,32.61
38cd9db1,gravity,gravity_solver,68.21,True,68.21
38d47621,gravity,gravity_solver,96.40,True,96.4
39425039,gravity,gravity_solver,72.49,True,72.49
396cc0a0,gravity,gravity_solver,69.74,True,69.74
397010ac,gravity,gravity_solver,76.00,True,76.0
397d6282,gravity,gravity_solver,44.85,True,44.85
39e10935,gravity,gravity_solver,12.13,True,12.13
39fafc6b,gravity,gravity_solver,71.53,True,71.53
3a1ae7b5,gravity,gravity_solver,5.40,True,5.4
3a322ba8,gravity,gravity_solver,9.93,True,9.93
3a36841a,gravity,gravity_solver,51.56,True,51.56
3a5e3516,gravity,gravity_solver,17.79,True,17.79
3a6e7b0b,gravity,gravity_solver,96.14,True,96.14
3a77dee7,gravity,gravity_solver,24.33,True,24.33
3a9032bc,gravity,gravity_solver,6.63,True,6.63
3abae1d9,gravity,gravity_solver,138.25,True,138.25
3abbb73b,gravity,gravity_solver,11.70,True,11.7
3b02c66d,gravity,gravity_solver,8.99,True,8.99
3b411a49,gravity,gravity_solver,45.28,True,45.28
3b52fe81,gravity,gravity_solver,7.96,True,7.96
3b68fc1a,gravity,gravity_solver,13.24,True,13.24
3bbc5f94,gravity,gravity_solver,24.36,True,24.36
3c53c8af,gravity,gravity_solver,20.03,True,20.03
3c560935,gravity,gravity_solver,6.83,True,6.83
3cee428b,gravity,gravity_solver,12.81,True,12.81
3d0322e6,gravity,gravity_solver,42.94,True,42.94
3d135d03,gravity,gravity_solver,95.12,True,95.12
3d2a57eb,gravity,gravity_solver,105.73,True,105.73
3d6a080f,gravity,gravity_solver,36.04,True,36.04
3d7176ac,gravity,gravity_solver,10.65,True,10.65
3dbbbe28,gravity,gravity_solver,111.10,True,111.1
3dcf15e1,gravity,gravity_solver,106.68,True,106.68
3dd5fcd2,gravity,gravity_solver,52.27,True,52.28
3e169057,gravity,gravity_solver,140.25,True,140.26
3e185a44,gravity,gravity_solver,88.43,True,88.43
3e1f5c42,gravity,gravity_solver,223.09,True,223.09
3e46f10f,gravity,gravity_solver,18.53,True,18.52
3e4fdced,gravity,gravity_solver,79.55,True,79.55
3ea413e6,gravity,gravity_solver,11.44,True,11.44
3ebf5ff5,gravity,gravity_solver,85.47,True,85.47
3ee2b186,gravity,gravity_solver,14.93,True,14.93
3ff1ea92,gravity,gravity_solver,105.09,True,105.09
4001b78e,gravity,gravity_solver,59.14,True,59.14
4020e3cc,gravity,gravity_solver,74.78,True,74.78
4032cd69,gravity,gravity_solver,49.82,True,49.82
404f84df,gravity,gravity_solver,134.01,True,134.01
40ad5039,gravity,gravity_solver,38.34,True,38.34
411a11d5,gravity,gravity_solver,72.05,True,72.05
412fba4c,gravity,gravity_solver,111.15,True,111.15
415910a5,gravity,gravity_solver,58.24,True,58.24
41d02358,gravity,gravity_solver,19.15,True,19.15
4246eb0b,gravity,gravity_solver,7.62,True,7.62
4265fac8,gravity,gravity_solver,11.01,True,11.01
4292f351,gravity,gravity_solver,53.62,True,53.62
42fee270,gravity,gravity_solver,144.74,True,144.73
432df718,gravity,gravity_solver,120.57,True,120.56
4358c014,gravity,gravity_solver,55.31,True,55.31
435cf017,gravity,gravity_solver,61.98,True,61.98
436cc2ef,gravity,gravity_solver,6.16,True,6.16
437acd17,gravity,gravity_solver,15.41,True,15.41
43838649,gravity,gravity_solver,16.28,True,16.28
439c723a,gravity,gravity_solver,14.48,True,14.48
43d2b2a6,gravity,gravity_solver,29.00,True,29.0
43d3fe37,gravity,gravity_solver,29.11,True,29.11
443adb63,gravity,gravity_solver,14.52,True,14.52
4440e09b,gravity,gravity_solver,26.38,True,26.38
44415184,gravity,gravity_solver,12.04,True,12.04
44719fbe,gravity,gravity_solver,72.10,True,72.1
44887d2a,gravity,gravity_solver,33.66,True,33.67
448d808e,gravity,gravity_solver,19.80,True,19.8
44c12875,gravity,gravity_solver,112.80,True,112.8
44c71228,gravity,gravity_solver,146.33,True,146.33
44cbca9c,gravity,gravity_solver,18.38,True,18.38
44dbe7d3,gravity,gravity_solver,75.15,True,75.15
4513f03e,gravity,gravity_solver,110.13,True,110.13
457592c4,gravity,gravity_solver,17.40,True,17.4
45c156ec,gravity,gravity_solver,24.91,True,24.91
4601649f,gravity,gravity_solver,93.92,True,93.92
46614702,gravity,gravity_solver,48.82,True,48.82
4688f0fa,gravity,gravity_solver,47.86,True,47.86
4694c386,gravity,gravity_solver,111.42,True,111.42
46a8a0fc,gravity,gravity_solver,39.70,True,39.7
46c21917,gravity,gravity_solver,87.07,True,87.07
46ca6181,gravity,gravity_solver,77.07,True,77.08
46f8f53b,gravity,gravity_solver,55.82,True,55.82
46fee0ee,gravity,gravity_solver,120.05,True,120.05
4707a5ad,gravity,gravity_solver,106.53,True,106.53
471dd348,gravity,gravity_solver,5.83,True,5.83
4724b23b,gravity,gravity_solver,7.75,True,7.75
47503c66,gravity,gravity_solver,77.57,True,77.57
4789fb9c,gravity,gravity_solver,32.25,True,32.25
4798cfa9,gravity,gravity_solver,32.06,True,32.06
479e86b4,gravity,gravity_solver,20.10,True,20.1
47a196a5,gravity,gravity_solver,53.15,True,53.15
47a42bf5,gravity,gravity_solver,46.33,True,46.32
47e63612,gravity,gravity_solver,60.89,True,60.89
47eeca75,gravity,gravity_solver,26.67,True,26.67
480779d8,gravity,gravity_solver,9.86,True,9.86
4814bbd2,gravity,gravity_solver,17.01,True,17.01
4833ba87,gravity,gravity_solver,9.74,True,9.74
48515906,gravity,gravity_solver,65.37,True,65.37
4860cd48,gravity,gravity_solver,24.00,True,24.0
486b3c3f,gravity,gravity_solver,85.48,True,85.48
487ae36f,gravity,gravity_solver,81.96,True,81.95
487f62c4,gravity,gravity_solver,97.97,True,97.97
489ffff9,gravity,gravity_solver,8.58,True,8.58
48c49778,gravity,gravity_solver,38.44,True,38.44
48eb12dd,gravity,gravity_solver,138.26,True,138.26
48ef22ca,gravity,gravity_solver,103.56,True,103.56
495d0bf6,gravity,gravity_solver,16.16,True,16.16
49a13c0b,gravity,gravity_solver,30.44,True,30.44
49c79cfa,gravity,gravity_solver,91.97,True,91.97
4a0b1e96,gravity,gravity_solver,197.56,True,197.56
4a38c4e6,gravity,gravity_solver,7.91,True,7.91
4a3e25a7,gravity,gravity_solver,60.92,True,60.92
4abfaa9f,gravity,gravity_solver,148.05,True,148.05
4ac135be,gravity,gravity_solver,26.15,True,26.15
4b39e8d5,gravity,gravity_solver,200.04,True,200.04
4b97377e,gravity,gravity_solver,79.20,True,79.2
4b9e883a,gravity,gravity_solver,108.43,True,108.43
4bef9829,gravity,gravity_solver,62.56,True,62.56
4c304942,gravity,gravity_solver,146.13,True,146.13
4c34cc0a,gravity,gravity_solver,8.47,True,8.47
4c718602,gravity,gravity_solver,92.72,True,92.71
4cae71c7,gravity,gravity_solver,32.19,True,32.19
4cd4cbb7,gravity,gravity_solver,106.74,True,106.74
4d1c6ed4,gravity,gravity_solver,66.26,True,66.26
4d391f8a,gravity,gravity_solver,34.97,True,34.97
4d553c01,gravity,gravity_solver,115.98,True,115.98
4da033da,gravity,gravity_solver,54.48,True,54.49
4dfe46a4,gravity,gravity_solver,5.97,True,5.97
4e00d99b,gravity,gravity_solver,64.00,True,63.99
4e01d71a,gravity,gravity_solver,74.64,True,74.64
4e126c61,gravity,gravity_solver,144.74,True,144.74
4e27b6d2,gravity,gravity_solver,49.18,True,49.18
4e2a7ef6,gravity,gravity_solver,134.41,True,134.41
4e756f32,gravity,gravity_solver,186.29,True,186.29
4ea59c57,gravity,gravity_solver,98.06,True,98.07
4ed8b06a,gravity,gravity_solver,146.29,True,146.29
4f19e09b,gravity,gravity_solver,111.97,True,111.96
4f655edc,gravity,gravity_solver,101.13,True,101.14
4f842c6a,gravity,gravity_solver,28.27,True,28.27
4f958913,gravity,gravity_solver,20.53,True,20.53
4fe5e805,gravity,gravity_solver,157.28,True,157.28
50070c1d,gravity,gravity_solver,102.41,True,102.41
50153aff,gravity,gravity_solver,25.60,True,25.6
501cec83,gravity,gravity_solver,55.27,True,55.27
501e6f4f,gravity,gravity_solver,148.67,True,148.67
